,collisions,step,episode,reward
188,4.0,10258,189,-32639.5
189,10.0,10331,190,-31203.5
190,6.0,10382,191,-34290.0
191,11.0,10450,192,-29655.0
192,6.0,10503,193,-49098.5
193,7.0,10588,194,-57520.5
194,10.0,10665,195,-29093.5
195,8.0,10741,196,-28398.5
196,9.0,10822,197,-30791.5
197,7.0,10869,198,-39859.5
198,18.0,10949,199,-29548.0
199,7.0,11005,200,-29840.0
200,7.0,11074,201,-26534.0
201,3.0,11126,202,-31299.0
202,5.0,11190,203,-29276.0
203,5.0,11236,204,-36708.5
204,12.0,11303,205,-29594.5
205,12.0,11368,206,-31122.5
206,4.0,11431,207,-29439.5
207,6.0,11499,208,-26487.5
208,14.0,11569,209,-28391.0
209,5.0,11632,210,-29737.5
210,6.0,11698,211,-30830.0
211,2.0,11767,212,-40897.5
212,5.0,11836,213,-31013.0
213,7.0,11902,214,-29413.0
214,6.0,11949,215,-37174.0
215,4.0,12012,216,-31602.0
216,10.0,12080,217,-39133.0
217,8.0,12151,218,-39186.0
218,3.0,12208,219,-28452.0
219,6.0,12257,220,-33440.0
220,3.0,12323,221,-30230.0
221,10.0,12399,222,-39302.5
222,5.0,12443,223,-39870.5
223,6.0,12500,224,-30871.0
224,5.0,12548,225,-36533.0
225,5.0,12612,226,-28158.0
226,4.0,12670,227,-33032.5
227,9.0,12745,228,-36269.0
228,5.0,12817,229,-31128.5
229,5.0,12887,230,-29671.0
230,7.0,12960,231,-34830.5
231,7.0,13023,232,-27576.5
232,9.0,13091,233,-33722.5
233,6.0,13160,234,-27822.0
234,8.0,13197,235,-45906.0
235,9.0,13277,236,-29880.5
236,4.0,13347,237,-35605.5
237,6.0,13385,238,-43067.5
238,15.0,13452,239,-29928.5
239,7.0,13509,240,-31388.0
240,4.0,13556,241,-32017.0
241,7.0,13597,242,-39189.0
242,9.0,13657,243,-30748.0
243,6.0,13698,244,-39107.5
244,9.0,13762,245,-30578.5
245,12.0,13826,246,-31734.5
246,8.0,13899,247,-26673.5
247,4.0,13951,248,-30886.5
248,10.0,14023,249,-31036.5
249,6.0,14083,250,-36063.0
250,6.0,14123,251,-37485.5
251,8.0,14169,252,-37283.0
252,8.0,14222,253,-35008.5
253,7.0,14278,254,-34158.0
254,5.0,14335,255,-31583.5
255,10.0,14415,256,-26918.0
256,5.0,14480,257,-28062.5
257,13.0,14552,258,-26297.0
258,7.0,14627,259,-26277.0
259,8.0,14668,260,-35703.5
260,14.0,14743,261,-26584.0
261,9.0,14813,262,-25638.0
262,5.0,14886,263,-26426.0
263,4.0,14959,264,-28282.5
264,9.0,15031,265,-24372.0
265,4.0,15077,266,-32685.5
266,3.0,15135,267,-29845.5
267,10.0,15195,268,-31786.5
268,5.0,15263,269,-26215.5
269,13.0,15340,270,-26200.5
270,4.0,15389,271,-30276.0
271,9.0,15445,272,-29502.0
272,8.0,15514,273,-31563.5
273,5.0,15579,274,-28412.5
274,4.0,15633,275,-31753.5
275,7.0,15689,276,-32311.5
276,7.0,15733,277,-36007.5
277,4.0,15778,278,-32356.5
278,10.0,15847,279,-34094.0
279,6.0,15930,280,-23737.5
280,11.0,16005,281,-27545.5
281,9.0,16071,282,-31884.0
282,11.0,16139,283,-27034.0
283,6.0,16182,284,-39916.0
284,9.0,16242,285,-30639.0
285,6.0,16311,286,-28506.5
286,3.0,16382,287,-29167.0
287,4.0,16451,288,-29260.0
288,9.0,16513,289,-26112.0
289,8.0,16570,290,-34626.5
290,7.0,16619,291,-35932.0
291,14.0,16685,292,-24993.0
292,3.0,16745,293,-30647.0
293,9.0,16810,294,-29211.0
294,8.0,16874,295,-29824.0
295,13.0,16943,296,-25839.5
296,7.0,17013,297,-30449.0
297,5.0,17062,298,-34249.0
298,6.0,17141,299,-27980.5
299,7.0,17190,300,-28783.5
300,9.0,17268,301,-25344.0
301,2.0,17327,302,-27872.0
302,15.0,17386,303,-30657.0
303,4.0,17444,304,-27105.0
304,11.0,17521,305,-28834.5
305,11.0,17594,306,-29352.5
306,10.0,17657,307,-31394.5
307,14.0,17732,308,-28367.5
308,4.0,17798,309,-28956.0
309,7.0,17865,310,-27595.5
310,12.0,17938,311,-40549.5
311,4.0,17985,312,-32816.0
312,8.0,18043,313,-28752.5
313,9.0,18107,314,-27464.5
314,9.0,18165,315,-35271.0
315,12.0,18241,316,-25596.0
316,6.0,18295,317,-27691.5
317,4.0,18343,318,-38235.5
318,3.0,18406,319,-57519.0
319,4.0,18455,320,-30455.0
320,6.0,18502,321,-32306.5
321,8.0,18568,322,-25625.5
322,12.0,18643,323,-30271.5
323,8.0,18704,324,-27968.0
324,3.0,18757,325,-29378.5
325,6.0,18828,326,-28615.0
326,4.0,18893,327,-30729.0
327,6.0,18940,328,-37028.0
328,7.0,18998,329,-28619.0
329,4.0,19045,330,-38880.0
330,9.0,19097,331,-31522.0
331,4.0,19162,332,-26948.0
332,4.0,19227,333,-61872.5
333,8.0,19288,334,-25672.5
334,5.0,19366,335,-27204.5
335,9.0,19432,336,-45179.0
336,3.0,19484,337,-31107.0
337,6.0,19531,338,-31595.0
338,7.0,19570,339,-44584.0
339,11.0,19619,340,-34157.5
340,8.0,19690,341,-30724.0
341,3.0,19729,342,-38186.5
342,15.0,19801,343,-24868.0
343,6.0,19868,344,-26077.5
344,5.0,19921,345,-31853.5
345,12.0,19994,346,-29229.0
346,4.0,20054,347,-30531.0
347,1.0,20102,348,-44151.0
348,7.0,20169,349,-28014.0
349,7.0,20251,350,-35651.5
350,5.0,20303,351,-33594.5
351,10.0,20368,352,-28795.0
352,5.0,20436,353,-28274.5
353,4.0,20507,354,-36054.0
354,8.0,20568,355,-25753.0
355,8.0,20642,356,-28077.5
356,6.0,20705,357,-30084.0
357,6.0,20756,358,-32296.5
358,10.0,20833,359,-25169.0
359,6.0,20888,360,-35904.5
360,9.0,20951,361,-32780.5
361,8.0,21019,362,-32279.0
362,7.0,21085,363,-31652.5
363,4.0,21125,364,-47896.5
364,7.0,21195,365,-30038.0
365,13.0,21273,366,-28628.5
366,1.0,21325,367,-34850.0
367,4.0,21387,368,-27574.5
368,5.0,21455,369,-64981.5
369,2.0,21525,370,-28364.5
370,5.0,21564,371,-45107.0
371,12.0,21634,372,-28405.0
372,7.0,21708,373,-33556.0
373,7.0,21770,374,-29166.5
374,12.0,21839,375,-35076.0
375,4.0,21887,376,-41944.5
376,3.0,21954,377,-28617.5
377,9.0,21998,378,-37061.5
