,collisions,step,episode_steps,reward,wait_average,accumulated_wait,throughput,stops
63,14.0,3820,66,-379287.0,218.10638297872342,379287.0,1739,0.9223691776883266
64,20.0,3908,88,-460401.0,258.94319460067493,460401.0,1778,0.8830146231721034
65,19.0,4014,106,-243218.5,134.22654525386312,243218.5,1812,0.8520971302428256
66,21.0,4103,89,-492741.5,273.59328151027205,492741.5,1801,0.818989450305386
67,22.0,4204,101,-437252.0,244.00223214285714,437252.0,1792,0.9430803571428571
68,18.0,4321,117,-738588.5,411.4699164345404,738588.5,1795,0.8818941504178273
69,16.0,4407,86,-496444.0,277.18816303740925,496444.0,1791,0.9408151870463428
70,6.0,4491,84,-357668.0,202.0723163841808,357668.0,1770,0.9508474576271186
71,16.0,4597,106,-302023.5,174.88332368268675,302023.5,1727,0.8772437753329473
72,18.0,4709,112,-359816.0,205.96222095020033,359816.0,1747,0.882655981682885
73,17.0,4834,125,-483000.5,280.0002898550725,483000.5,1725,0.9646376811594203
74,15.0,4933,99,-425042.0,247.83790087463558,425042.0,1715,0.9224489795918367
75,14.0,5027,94,-291319.0,162.6571747627024,291319.0,1791,0.84142936906756
76,23.0,5146,119,-371648.0,214.82543352601155,371648.0,1730,0.9190751445086706
77,11.0,5226,80,-240975.0,139.37246963562754,240975.0,1729,0.8756506651243493
78,23.0,5345,119,-647108.5,362.1200335758254,647108.5,1787,0.923335198656967
79,18.0,5453,108,-645009.5,375.6607454863133,645009.5,1717,0.9411764705882353
80,14.0,5541,88,-443859.5,252.76736902050115,443859.5,1756,0.9037585421412301
81,16.0,5641,100,-535554.5,287.93252688172043,535554.5,1860,0.9290322580645162
82,14.0,5765,124,-403362.5,228.1462104072398,403362.5,1768,0.9417420814479638
83,17.0,5855,90,-256970.5,145.7575155984118,256970.5,1763,0.8428814520703346
84,16.0,5958,103,-524601.5,290.7990576496674,524601.5,1804,0.8220620842572062
85,10.0,6059,101,-650743.0,369.95054007959067,650743.0,1759,0.8226264923251848
86,16.0,6143,84,-225388.5,123.09584926269798,225388.5,1831,0.8290551611141452
87,15.0,6240,97,-348176.5,190.5727969348659,348176.5,1827,0.8921729611384783
88,8.0,6332,92,-421245.0,233.76526082130965,421245.0,1802,0.8862375138734739
89,17.0,6425,93,-417737.0,237.0811577752554,417737.0,1762,0.8643586833144155
90,13.0,6533,108,-700802.0,375.7651474530831,700802.0,1865,0.8327077747989277
91,13.0,6634,101,-539729.5,303.3892636312535,539729.5,1779,0.8920741989881956
92,16.0,6737,103,-585503.0,334.57314285714284,585503.0,1750,0.8491428571428571
93,4.0,6804,67,-321219.0,174.2913727618014,321219.0,1843,0.8534997287032013
94,7.0,6875,71,-402941.5,233.7247679814385,402941.5,1724,0.7836426914153132
95,8.0,6971,96,-497535.5,263.9445623342175,497535.5,1885,0.8482758620689655
96,8.0,7079,108,-410132.5,226.9687327061428,410132.5,1807,0.8588821250691754
97,9.0,7197,118,-608690.0,356.3758782201405,608690.0,1708,0.8366510538641686
98,5.0,7295,98,-620448.5,352.3273708120386,620448.5,1761,0.9625212947189097
99,13.0,7419,124,-128043.5,73.97082611207395,128043.5,1731,0.8867706528018486
100,13.0,7536,117,-792208.0,473.8086124401914,792208.0,1672,0.965311004784689
101,6.0,7640,104,-559039.0,305.65281574630944,559039.0,1829,0.9464188080918535
102,14.0,7742,102,-262993.0,151.6683967704729,262993.0,1734,0.9204152249134948
103,18.0,7852,110,-152093.5,87.41005747126437,152093.5,1740,0.9155172413793103
104,10.0,7965,113,-513810.5,276.0937667920473,513810.5,1861,0.8887694787748522
105,14.0,8077,112,-420399.5,236.978297632469,420399.5,1774,0.8906426155580609
106,4.0,8187,110,-298070.0,166.2409369771333,298070.0,1793,0.7841606246514222
107,5.0,8307,120,-624743.0,354.16269841269843,624743.0,1764,0.7437641723356009
108,20.0,8402,95,-265145.0,152.82132564841498,265145.0,1735,0.8357348703170029
109,23.0,8499,97,-530888.0,303.7116704805492,530888.0,1748,0.8764302059496567
110,38.0,8602,103,-358691.5,207.93710144927536,358691.5,1725,0.8904347826086957
111,38.0,8714,112,-417727.5,229.0172697368421,417727.5,1824,0.9133771929824561
112,36.0,8812,98,-188594.5,109.83954571927781,188594.5,1717,0.8456610366919045
113,36.0,8927,115,-124968.0,68.47561643835617,124968.0,1825,0.8936986301369862
